VWAP at time: 10:00
Symbol  VWAP
NQP   12.6050
CBZ   19.5536
CATM   27.9741
GEF   38.4468
DVY   93.4936
LC   3.0363
SPA   18.4070
LOGI   36.0193
PFN   9.9900
YPF   15.6991
ANH   4.4739
MSG   274.0769
MYOK   40.7165
CRF   11.6477
GLNG   21.7234
ERF   8.7289
THS   57.2219
IGD   6.4513
AVB   190.4287
AOM   36.6600
BEAT   68.9158
IGN   49.8683
ARKG   27.1776
DMB   12.4315
CMSS   10.2200
BHB   23.4500
HUD   12.9455
ENIC   5.2933
SCSC   37.1168
NXTM   28.9298
NEW   5.4300
ZEAL   14.2542
VCR   162.8036
PEJ   42.1665
IEUR   43.7473
CXE   4.8727
VNCE   12.0000
DTV   53.1700
DIV   23.5584
IWR   50.5972
LNG   65.7660
SFE   9.5123
AB   30.0200
GCAP   6.6283
UCTT   11.2297
IBDQ   24.2006
FTR   1.8658
DWAS   47.1252
TLRA   3.1561
CAPL   17.5185
VBR   125.5615
RPG   106.9177
XME   29.8185
SPLG   31.0893
UEIC   27.1506
INOD   1.4120
VTEB   51.1730
LTXB   40.5891
CBL-D   14.2500
AOD   8.0567
NEE-R   57.7150
FEI   11.3926
OCX   5.3243
DWM   49.1289
EVN   11.5829
IQI   11.7775
PSI   48.9755
MCC   3.1287
EAI   23.6300
PSJ   80.6055
ACH   8.9844
PSXP   50.1340
MYD   13.2875
BAB   29.5050
ASM   0.6067
FNDX   35.9952
TI.A   4.5500
CIA   7.3418
EVOP   25.2269
IDU   135.3038
FUN   55.3721
MUNI   53.0700
FLRN   30.6103
RMT   8.2000
FPL   8.8279
OSBC   14.2459
CLPR   12.8974
ICVT   55.1762
ALX   329.9631
HIL   3.3550
WSO   147.0194
ETRN   20.6575
WHD   32.6478
FT   6.5700
CLCT   13.5079
RES   10.8670
SPTL   34.8388
ARR-B   24.5000
VVR   4.0671
BKF   40.7100
ALL-E   25.3183
NOV   29.6145
WDRW   30.8700
JKH   211.1118
FXG   44.2707
BGH   17.1300
SEF   23.3600
COO   274.0166
COPX   19.7900
TSS   87.8495
SPXC   29.2088
INVH   22.4511
RLI   65.5511
EMGF   41.9500
BJRI   52.7169
OMF   29.1419
HPP   32.4221
GRAM   3.1364
PSP   10.8951
EDIV   31.9400
BNY   12.4700
BKE   17.2902
OTIV   0.7939
DBJP   38.5330
HZO   17.6509
CDR   3.5286
EVV   12.2915
IJJ   152.6853
Z   33.1961
WGP   32.2025
CASA   11.6419
MVT   14.2500
SONO   11.0591
FXR   37.6016
GHY   13.6558
BRG   10.3575
SNAP   6.4191
GSV   1.3140
XLV   88.7017
PRK   94.1600
CCNI   3.9202
PLBC   24.3000
PIXY   1.3312
DBX   23.5371
GMTA   24.8775
INTL   37.3695
BLE   14.0000
OMI   7.6074
CEMB   48.8634
RILYG   23.9736
MLPQ   27.7393
UTG   30.5880
FXN   13.1085
ERH   12.1700
IDT   6.9032
CISN   11.9813
TREC   8.6491
QSY   81.1600
IIJI   11.4600
SEM   15.2705
LNT   42.9144
SCHG   73.4427
KYN   15.3684
PTC   82.8160
RRC   11.5058
HSC   20.8576
BZUN   34.5293
AGD   9.4900
HDV   86.3880
HIFS   182.0325
UIS   12.6623
TRMB   36.3833
RETL   28.2950
SPDV   25.0800
EFAV   69.2323
GLUU   9.4297
NX   14.9856
VALQ   37.7200
PAH   11.0330
ENS   84.0493
AFSI-D   7.8220
ARKW   48.0180
FCG   17.1785
LEN.B   36.6684
IBDN   24.5195
DVD   1.9900
INKM   31.9400
LAZ   39.0008
CWEN.A   14.8685
SMI   4.6738
GLQ   12.0250
SPTS   29.6050
IGM   184.0770
LUV   57.0756
LMLP   12.9471
GS-N   26.1195
OXLCO   25.1100
DESP   14.8143
IMOS   16.1957
BFAM   114.5142
UVE   37.7478
HR   31.7545
JSD   15.3860
NXJ   13.2000
RBA   35.6996
CHCI   1.9067
EEM   41.9855
STIP   98.3900
NXRT   37.1713
SNNA   2.5390
NMZ   12.3810
FNGD   30.0406
CQQQ   43.5186
SAN   4.7861
POST   92.7621
NICK   10.5251
FMAT   30.4974
ACWV   84.2700
LIVE   7.3833
NM   2.4352
NOMD   17.9010
VRTX   185.4043
OESX   0.8900
INDA   31.8724
PSA-Y   25.4564
CET   26.0900
ROM   87.4000
IVH   13.0900
ISTR   23.0467
WCC   53.4380
HHC   108.2610
MCR   7.7200
CBS.A   49.1569
